addressLine1,addressLine2,bathrooms,bedrooms,city,county,countyFips,createdDate,daysOnMarket,formattedAddress,history,id,lastSeenDate,latitude,listedDate,listingAgent,listingOffice,listingType,longitude,lotSize,mlsName,mlsNumber,price,propertyType,removedDate,squareFootage,state,stateFips,status,yearBuilt,zipCode
940 E 43rd Pl,,4,9,Los Angeles,Los Angeles,037,2024-09-07T00:00:00.000Z,25,"940 E 43rd Pl, Los Angeles, CA 90011","{'2024-09-06': {'event': 'Sale Listing', 'price': 989000, 'listingType': 'Standard', 'listedDate': '2024-09-06T00:00:00.000Z', 'removedDate': '2024-10-01T00:00:00.000Z', 'daysOnMarket': 25}}","940-E-43rd-Pl,-Los-Angeles,-CA-90011",2024-09-30T13:20:13.369Z,34.0047,2024-09-06T00:00:00.000Z,"{'name': 'Joshua Lee Glaz', 'phone': '5624139399', 'email': 'joshua@theave.agency', 'website': 'http://www.theave.agancy'}","{'name': 'The Ave', 'phone': '5626740808'}",Standard,-118.259148,6776,CRMLS,DW24185259,989000,Multi-Family,2024-10-01T00:00:00.000Z,2696,CA,06,Inactive,1948,90011
886 894 E 43rd Pl,,7,19,Los Angeles,Los Angeles,037,2025-05-07T00:00:00.000Z,180,"886 894 E 43rd Pl, Los Angeles, CA 90011","{'2025-05-06': {'event': 'Sale Listing', 'price': 1600000, 'listingType': 'Standard', 'listedDate': '2025-05-06T00:00:00.000Z', 'removedDate': '2025-11-02T00:00:00.000Z', 'daysOnMarket': 180}}","886-894-E-43rd-Pl,-Los-Angeles,-CA-90011",2025-11-01T11:48:21.518Z,34.004711,2025-05-06T00:00:00.000Z,"{'name': 'William James', 'phone': '3109095456', 'email': 'william.james@marcusmillichap.com', 'website': 'http://www.marcusmillichap.com'}","{'name': 'Lyon Stahl Investment Re, Inc.', 'phone': '3104259838', 'email': 'woodystahl@gmail.com'}",Standard,-118.260117,13494,TheMLSCLAW,25533565,1600000,Multi-Family,2025-11-02T00:00:00.000Z,6508,CA,06,Inactive,1960,90011
795 E 42nd Pl,,5,6,Los Angeles,Los Angeles,037,2025-07-13T00:00:00.000Z,40,"795 E 42nd Pl, Los Angeles, CA 90011","{'2025-07-12': {'event': 'Sale Listing', 'price': 1199000, 'listingType': 'Standard', 'listedDate': '2025-07-12T00:00:00.000Z', 'removedDate': '2025-08-21T00:00:00.000Z', 'daysOnMarket': 40}, '2025-09-04': {'event': 'Sale Listing', 'price': 999999, 'listingType': 'Standard', 'listedDate': '2025-09-04T00:00:00.000Z', 'removedDate': '2025-09-26T00:00:00.000Z', 'daysOnMarket': 22}, '2025-10-25': {'event': 'Sale Listing', 'price': 995000, 'listingType': 'Standard', 'listedDate': '2025-10-25T00:00:00.000Z', 'removedDate': '2025-12-04T00:00:00.000Z', 'daysOnMarket': 40}}","795-E-42nd-Pl,-Los-Angeles,-CA-90011",2025-12-03T12:02:51.597Z,34.006888,2025-10-25T00:00:00.000Z,"{'name': 'Karen E Fuentes', 'phone': '6262984061', 'email': 'karenf.realty@gmail.com'}","{'name': 'Excellence Real Estate HD', 'phone': '7605143027', 'website': 'http://www.noelsenarealestate.com'}",Standard,-118.261758,5192,CRMLS,HD25244618,995000,Multi-Family,2025-12-04T00:00:00.000Z,3027,CA,06,Inactive,2007,90011
4159 S Central Ave,,,,Los Angeles,Los Angeles,037,2024-10-11T00:00:00.000Z,112,"4159 S Central Ave, Los Angeles, CA 90011","{'2024-10-10': {'event': 'Sale Listing', 'price': 1950000, 'listingType': 'Standard', 'listedDate': '2024-10-10T00:00:00.000Z', 'removedDate': '2025-01-10T00:00:00.000Z', 'daysOnMarket': 92}, '2025-06-13': {'event': 'Sale Listing', 'price': 1720000, 'listingType': 'Standard', 'listedDate': '2025-06-13T00:00:00.000Z', 'removedDate': '2025-10-03T00:00:00.000Z', 'daysOnMarket': 112}}","4159-S-Central-Ave,-Los-Angeles,-CA-90011",2025-10-02T12:42:37.566Z,34.00798,2025-06-13T00:00:00.000Z,"{'name': 'Mojgan Yamini', 'email': 'my@landmark1realty.com'}","{'name': 'Landmark One Realty', 'phone': '3108771237'}",Standard,-118.256828,7600,TheMLSCLAW,25552287,1720000,Land,2025-10-03T00:00:00.000Z,,CA,06,Inactive,,90011
889 E Vernon Ave,,1,2,Los Angeles,Los Angeles,037,2023-08-21T00:00:00.000Z,485,"889 E Vernon Ave, Los Angeles, CA 90011","{'2023-08-21': {'event': 'Sale Listing', 'price': 799000, 'listingType': 'Standard', 'listedDate': '2023-08-21T00:00:00.000Z', 'removedDate': '2024-12-18T00:00:00.000Z', 'daysOnMarket': 485}}","889-E-Vernon-Ave,-Los-Angeles,-CA-90011",2024-12-17T10:32:16.858Z,34.004198,2023-08-21T00:00:00.000Z,"{'name': 'William Taylor', 'phone': '3232340466', 'email': 'btaylor.figi@gmail.com'}","{'name': 'Future Investment Group Intern', 'phone': '3232340466'}",Standard,-118.26011,4886,TheMLSCLAW,23-302839,799000,Single Family,2024-12-18T00:00:00.000Z,672,CA,06,Inactive,1922,90011
835 E 41st St,,,6,Los Angeles,Los Angeles,037,2025-07-19T00:00:00.000Z,56,"835 E 41st St, Los Angeles, CA 90011","{'2025-07-19': {'event': 'Sale Listing', 'price': 600000, 'listingType': 'Standard', 'listedDate': '2025-07-19T00:00:00.000Z', 'removedDate': '2025-08-28T00:00:00.000Z', 'daysOnMarket': 40}, '2025-10-14': {'event': 'Sale Listing', 'price': 600000, 'listingType': 'Standard', 'listedDate': '2025-10-14T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 56}}","835-E-41st-St,-Los-Angeles,-CA-90011",2025-12-08T14:07:24.211Z,34.00938,2025-10-14T00:00:00.000Z,"{'name': 'Luis Cervantes Sekisaka', 'phone': '5624154291', 'email': 'propertiesw.luis@gmail.com'}","{'name': 'Plf Real Estate Solutions', 'phone': '5623646066', 'email': 'hed@plfrealestatesolutions.com'}",Standard,-118.260963,6220,CRMLS,DW25156911,600000,Multi-Family,,2376,CA,06,Active,1909,90011
791 E 41st St,,1,2,Los Angeles,Los Angeles,037,2025-03-21T00:00:00.000Z,13,"791 E 41st St, Los Angeles, CA 90011","{'2025-03-21': {'event': 'Sale Listing', 'price': 549900, 'listingType': 'Standard', 'listedDate': '2025-03-21T00:00:00.000Z', 'removedDate': '2025-04-03T00:00:00.000Z', 'daysOnMarket': 13}}","791-E-41st-St,-Los-Angeles,-CA-90011",2025-04-02T12:25:16.256Z,34.009479,2025-03-21T00:00:00.000Z,,"{'name': 'Radius Agent Realty', 'phone': '4159171921'}",Standard,-118.261605,6908,TheMLSCLAW,25514625,549900,Single Family,2025-04-03T00:00:00.000Z,942,CA,06,Inactive,1905,90011
721 E 42nd Pl,,3,5,Los Angeles,Los Angeles,037,2021-05-12T17:18:57.846Z,47,"721 E 42nd Pl, Los Angeles, CA 90011","{'2025-09-19': {'event': 'Sale Listing', 'price': 799900, 'listingType': 'Standard', 'listedDate': '2025-09-19T00:00:00.000Z', 'removedDate': '2025-11-05T00:00:00.000Z', 'daysOnMarket': 47}}","721-E-42nd-Pl,-Los-Angeles,-CA-90011",2025-11-04T12:41:26.300Z,34.006879,2025-09-19T00:00:00.000Z,"{'name': 'Aaron Mejia', 'phone': '5624134717', 'email': 'aaronmcmgmt@yahoo.com'}","{'name': ""Christie's AKG"", 'phone': '4242497162'}",Standard,-118.262946,5180,TheMLSCLAW,25595133,799900,Multi-Family,2025-11-05T00:00:00.000Z,2629,CA,06,Inactive,1906,90011
781 E 41st St,,3,6,Los Angeles,Los Angeles,037,2024-06-13T00:00:00.000Z,89,"781 E 41st St, Los Angeles, CA 90011",,"781-E-41st-St,-Los-Angeles,-CA-90011",2024-09-09T13:39:24.545Z,34.009476,2024-06-13T00:00:00.000Z,"{'name': 'Christopher Martinez Diaz', 'phone': '3233033410', 'email': 'chris@evaniskorealty.com'}","{'name': 'Vinco Vinco Realty & Investmen', 'phone': '3233033410', 'email': 'chris@evaniskorealty.com'}",Standard,-118.261941,7082,CRMLS,SR24115067,865000,Multi-Family,2024-09-10T00:00:00.000Z,1817,CA,06,Inactive,1905,90011
914 E Martin Luther King Jr Blvd,,5,6,Los Angeles,Los Angeles,037,2024-05-17T00:00:00.000Z,146,"914 E Martin Luther King Jr Blvd, Los Angeles, CA 90011","{'2024-05-16': {'event': 'Sale Listing', 'price': 915000, 'listingType': 'Standard', 'listedDate': '2024-05-16T00:00:00.000Z', 'removedDate': '2024-10-09T00:00:00.000Z', 'daysOnMarket': 146}}","914-E-Martin-Luther-King-Jr-Blvd,-Los-Angeles,-CA-90011",2024-10-08T13:20:07.945Z,34.010663,2024-05-16T00:00:00.000Z,"{'name': 'Casey Lins', 'phone': '7143336768', 'email': 'casey@rcre.co'}","{'name': 'Kidder Mathews of California, Inc.', 'phone': '8585091200'}",Standard,-118.259592,3329,TheMLSCLAW,24-392759,915000,Multi-Family,2024-10-09T00:00:00.000Z,2651,CA,06,Inactive,1948,90011
788 E 40th Pl,,2,3,Los Angeles,Los Angeles,037,2023-09-06T00:00:00.000Z,146,"788 E 40th Pl, Los Angeles, CA 90011","{'2024-08-16': {'event': 'Sale Listing', 'price': 625000, 'listingType': 'Standard', 'listedDate': '2024-08-16T00:00:00.000Z', 'removedDate': '2024-11-10T00:00:00.000Z', 'daysOnMarket': 86}, '2025-01-16': {'event': 'Sale Listing', 'price': 599000, 'listingType': 'Standard', 'listedDate': '2025-01-16T00:00:00.000Z', 'removedDate': '2025-04-11T00:00:00.000Z', 'daysOnMarket': 85}, '2025-07-16': {'event': 'Sale Listing', 'price': 569900, 'listingType': 'Standard', 'listedDate': '2025-07-16T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 146}}","788-E-40th-Pl,-Los-Angeles,-CA-90011",2025-12-08T13:57:07.131Z,34.009757,2025-07-16T00:00:00.000Z,"{'name': 'Sofia Morales Santana', 'phone': '9513188020', 'email': 'sofiamoralesrealtor@gmail.com', 'website': 'https://sofiamorales.buysellhome.info/'}","{'name': 'CENTURY 21 PrimeTime Realtors', 'phone': '9099806100', 'email': 'felixlopez@c21primetime.com'}",Standard,-118.261874,2884,CRMLS,CV25160290,569900,Single Family,,1220,CA,06,Active,1915,90011
726 E 43rd St,,1,3,Los Angeles,Los Angeles,037,2024-12-12T00:00:00.000Z,1,"726 E 43rd St, Los Angeles, CA 90011","{'2024-12-12': {'event': 'Sale Listing', 'price': 549000, 'listingType': 'Foreclosure', 'listedDate': '2024-12-12T00:00:00.000Z', 'removedDate': '2024-12-13T00:00:00.000Z', 'daysOnMarket': 1}}","726-E-43rd-St,-Los-Angeles,-CA-90011",2024-12-12T07:25:48.652Z,34.005454,2024-12-12T00:00:00.000Z,"{'name': 'Ray Duran Jr', 'phone': '3237242420', 'email': 'rayd@larenetwork.com', 'website': 'https://www.larenetwork.com'}","{'name': 'L.A. Real Estate Network Group', 'phone': '7602402200', 'email': 'rayd@larenetwork.com', 'website': 'www.larenetwork.com'}",Foreclosure,-118.262941,5121,CRMLS,MB24248365,549000,Single Family,2024-12-13T00:00:00.000Z,1204,CA,06,Inactive,1908,90011
1139 E 43rd St,,2,5,Los Angeles,Los Angeles,037,2025-01-04T00:00:00.000Z,106,"1139 E 43rd St, Los Angeles, CA 90011","{'2025-01-03': {'event': 'Sale Listing', 'price': 750000, 'listingType': 'Standard', 'listedDate': '2025-01-03T00:00:00.000Z', 'removedDate': '2025-03-26T00:00:00.000Z', 'daysOnMarket': 82}, '2025-04-24': {'event': 'Sale Listing', 'price': 699000, 'listingType': 'Standard', 'listedDate': '2025-04-24T00:00:00.000Z', 'removedDate': '2025-08-08T00:00:00.000Z', 'daysOnMarket': 106}}","1139-E-43rd-St,-Los-Angeles,-CA-90011",2025-08-07T13:05:11.668Z,34.006008,2025-04-24T00:00:00.000Z,"{'name': 'Robert Colangeli', 'phone': '5626861992', 'email': 'robertcolangeli@yahoo.com', 'website': 'http://www.colangelihomes.com'}","{'name': 'IET Real Estate', 'phone': '5629499111', 'email': 'bnicolas@ietrealestate.com'}",Standard,-118.255512,5103,CRMLS,DW25084931,699000,Multi-Family,2025-08-08T00:00:00.000Z,2056,CA,06,Inactive,1907,90011
735 E 43rd Pl,,10,20,Los Angeles,Los Angeles,037,2024-07-30T00:00:00.000Z,81,"735 E 43rd Pl, Los Angeles, CA 90011","{'2024-07-30': {'event': 'Sale Listing', 'price': 904000, 'listingType': 'Standard', 'listedDate': '2024-07-30T00:00:00.000Z', 'removedDate': '2024-11-08T00:00:00.000Z', 'daysOnMarket': 101}, '2024-11-08': {'event': 'Sale Listing', 'price': 799000, 'listingType': 'Standard', 'listedDate': '2024-11-08T00:00:00.000Z', 'removedDate': '2025-01-28T00:00:00.000Z', 'daysOnMarket': 81}}","735-E-43rd-Pl,-Los-Angeles,-CA-90011",2025-01-27T12:59:09.586Z,34.005064,2024-11-08T00:00:00.000Z,"{'name': 'Javier Sanchez', 'phone': '9099819733', 'email': 'thesanchezgroup@yahoo.com'}","{'name': 'RE MAX Champions', 'phone': '9099490605', 'email': 'info@remaxchampions.com'}",Standard,-118.262808,5122,CRMLS,CV24229740,799000,Multi-Family,2025-01-28T00:00:00.000Z,2592,CA,06,Inactive,1959,90011
715 E 41st Pl,,2,3,Los Angeles,Los Angeles,037,2022-11-02T10:44:14.352Z,123,"715 E 41st Pl, Los Angeles, CA 90011","{'2025-04-24': {'event': 'Sale Listing', 'price': 850000, 'listingType': 'Standard', 'listedDate': '2025-04-24T00:00:00.000Z', 'removedDate': '2025-08-25T00:00:00.000Z', 'daysOnMarket': 123}}","715-E-41st-Pl,-Los-Angeles,-CA-90011",2025-08-24T13:00:40.126Z,34.008481,2025-04-24T00:00:00.000Z,"{'name': 'Lauren Cearley', 'phone': '2092986020', 'email': 'listings@twotofour.com'}","{'name': 'Myunits.com Inc.', 'phone': '8188597242', 'email': 'elizabeth@myunits.com', 'website': 'http://www.myunits.com'}",Standard,-118.2631,7320,CRMLS,BB25089809,850000,Land,2025-08-25T00:00:00.000Z,1000,CA,06,Inactive,1977,90011
702 E 41st Pl,,2,4,Los Angeles,Los Angeles,037,2022-05-25T15:51:57.594Z,11,"702 E 41st Pl, Los Angeles, CA 90011",,"702-E-41st-Pl,-Los-Angeles,-CA-90011",2024-09-10T13:08:50.640Z,34.007953,2024-08-31T00:00:00.000Z,"{'name': 'Joshua Vivanco', 'phone': '5622997934', 'email': 'joshvivanco51@gmail.com'}","{'name': 'Keller Williams Realty Downtown LA', 'phone': '2137977000', 'email': 'jeff@jeffcurtisteam.com'}",Standard,-118.263309,4831,CRMLS,DW24180957,799000,Single Family,2024-09-11T00:00:00.000Z,1304,CA,06,Inactive,1908,90011
686 E 42nd Pl,,3,7,Los Angeles,Los Angeles,037,2025-01-23T00:00:00.000Z,114,"686 E 42nd Pl, Los Angeles, CA 90011","{'2025-01-22': {'event': 'Sale Listing', 'price': 770000, 'listingType': 'Standard', 'listedDate': '2025-01-22T00:00:00.000Z', 'removedDate': '2025-05-16T00:00:00.000Z', 'daysOnMarket': 114}}","686-E-42nd-Pl,-Los-Angeles,-CA-90011",2025-05-15T13:49:44.990Z,34.006356,2025-01-22T00:00:00.000Z,"{'name': 'Marvin Phillip', 'phone': '5622078200', 'email': 'marvin@thephillipgroup.com', 'website': 'http://www.thephillipgroup.com'}","{'name': 'Y Realty', 'phone': '9493314140', 'email': 'candiceculen@kw.com'}",Standard,-118.263603,5112,CRMLS,PW25015176,770000,Single Family,2025-05-16T00:00:00.000Z,2654,CA,06,Inactive,1912,90011
735 E Vernon Ave,,2,5,Los Angeles,Los Angeles,037,2024-04-03T00:00:00.000Z,156,"735 E Vernon Ave, Los Angeles, CA 90011",,"735-E-Vernon-Ave,-Los-Angeles,-CA-90011",2024-09-04T13:14:00.243Z,34.00417,2024-04-02T00:00:00.000Z,"{'name': 'Jose Palencia', 'phone': '3103082026', 'email': 'josepalen2@yahoo.com'}","{'name': 'Popular Funding & Real Estate', 'phone': '5628610056'}",Standard,-118.262773,4695,CRMLS,DW24065140,679000,Multi-Family,2024-09-05T00:00:00.000Z,1796,CA,06,Inactive,1947,90011
736 E 40th Pl,,1,2,Los Angeles,Los Angeles,037,2025-01-14T00:00:00.000Z,18,"736 E 40th Pl, Los Angeles, CA 90011","{'2025-01-14': {'event': 'Sale Listing', 'price': 549000, 'listingType': 'Standard', 'listedDate': '2025-01-14T00:00:00.000Z', 'removedDate': '2025-02-01T00:00:00.000Z', 'daysOnMarket': 18}}","736-E-40th-Pl,-Los-Angeles,-CA-90011",2025-01-31T12:44:58.935Z,34.009908,2025-01-14T00:00:00.000Z,"{'name': 'Erik Ruiz', 'phone': '3237227300', 'email': 'erikrealty@yahoo.com'}","{'name': 'CENTURY 21 Realty Masters', 'phone': '3237227300', 'email': 'rmeg@msn.com', 'website': 'http://c21realtymasters.com/'}",Standard,-118.262796,5120,CRMLS,MB25007369,549000,Single Family,2025-02-01T00:00:00.000Z,914,CA,06,Inactive,1911,90011
894 E 35th St,,6,10,Los Angeles,Los Angeles,037,2024-04-27T00:00:00.000Z,146,"894 E 35th St, Los Angeles, CA 90011","{'2025-02-15': {'event': 'Sale Listing', 'price': 1399000, 'listingType': 'Standard', 'listedDate': '2025-02-15T00:00:00.000Z', 'removedDate': '2025-07-11T00:00:00.000Z', 'daysOnMarket': 146}}","894-E-35th-St,-Los-Angeles,-CA-90011",2025-07-10T13:18:53.092Z,34.011529,2025-02-15T00:00:00.000Z,"{'name': 'Juliet Lee', 'phone': '2139253747', 'email': 'judylee@newstarrealty.com'}","{'name': 'Redpoint Realty', 'phone': '9498518900'}",Standard,-118.259951,5672,CRMLS,PW25034188,1399000,Multi-Family,2025-07-11T00:00:00.000Z,3666,CA,06,Inactive,2022,90011
662 E 42nd St,,8,12,Los Angeles,Los Angeles,037,2025-04-26T00:00:00.000Z,191,"662 E 42nd St, Los Angeles, CA 90011","{'2025-04-25': {'event': 'Sale Listing', 'price': 1390000, 'listingType': 'Standard', 'listedDate': '2025-04-25T00:00:00.000Z', 'removedDate': '2025-11-02T00:00:00.000Z', 'daysOnMarket': 191}}","662-E-42nd-St,-Los-Angeles,-CA-90011",2025-11-01T11:41:13.414Z,34.007277,2025-04-25T00:00:00.000Z,"{'name': 'Parviz Peter Dalili', 'phone': '3105394300', 'email': 'peter@daliliproperties.com'}","{'name': 'HOME TEAM REALTY', 'phone': '3103737222', 'email': 'hometeamnow@gmail.com'}",Standard,-118.264002,5518,TheMLSCLAW,25530207,1390000,Multi-Family,2025-11-02T00:00:00.000Z,4530,CA,06,Inactive,2017,90011
